TOP 5:
word:         vronsky; TF: 0.002385; IDF: 2.564949; TF-IDF: 0.006117
word:          stepan; TF: 0.001516; IDF: 2.564949; TF-IDF: 0.003889
word:          alexey; TF: 0.001748; IDF: 1.871802; TF-IDF: 0.003273
word:  alexandrovitch; TF: 0.001580; IDF: 1.871802; TF-IDF: 0.002957
word:           levin; TF: 0.004471; IDF: 0.619039; TF-IDF: 0.002767
-------------------------------
word:      contracted; TF: 0.000006; IDF: 0.955511; TF-IDF: 0.000005
word:            soul; TF: 0.000290; IDF: 0.262364; TF-IDF: 0.000076
word:       guileless; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:            quos; TF: 0.000006; IDF: 2.564949; TF-IDF: 0.000014
word:            soup; TF: 0.000044; IDF: 0.619039; TF-IDF: 0.000027
word:            sour; TF: 0.000006; IDF: 0.485508; TF-IDF: 0.000003
word:           night; TF: 0.000257; IDF: 0.080043; TF-IDF: 0.000021
word:         decorum; TF: 0.000022; IDF: 1.871802; TF-IDF: 0.000041
word:     bartnyansky; TF: 0.000022; IDF: 1.871802; TF-IDF: 0.000041
word:          talent; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:      alteration; TF: 0.000003; IDF: 0.080043; TF-IDF: 0.000000
word:      proclaimed; TF: 0.000006; IDF: 0.955511; TF-IDF: 0.000005
word:        civility; TF: 0.000006; IDF: 1.871802; TF-IDF: 0.000010
word:       bluntness; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:         pistols; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:       viciously; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:         western; TF: 0.000003; IDF: 0.619039; TF-IDF: 0.000002
word:            sown; TF: 0.000019; IDF: 1.178655; TF-IDF: 0.000023
word:           there; TF: 0.003336; IDF: 0.080043; TF-IDF: 0.000267
word:          marble; TF: 0.000014; IDF: 0.619039; TF-IDF: 0.000009
word:         columns; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:    productively; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:         dismiss; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:        december; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:         dinners; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000021
word:         sinking; TF: 0.000022; IDF: 0.485508; TF-IDF: 0.000011
word:         winning; TF: 0.000019; IDF: 0.619039; TF-IDF: 0.000012
word:         gardens; TF: 0.000028; IDF: 0.955511; TF-IDF: 0.000026
word:          jerked; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:          author; TF: 0.000025; IDF: 0.000000; TF-IDF: 0.000000
word:           huger; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:           these; TF: 0.000764; IDF: 0.080043; TF-IDF: 0.000061
word:        joyfully; TF: 0.000030; IDF: 0.955511; TF-IDF: 0.000029
word:         visions; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:      fireplaces; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
