TOP 5:
word:              to; TF: 0.026120; IDF: 0.693147; TF-IDF: 0.018105
word:               a; TF: 0.020719; IDF: 0.693147; TF-IDF: 0.014361
word:               i; TF: 0.020288; IDF: 0.693147; TF-IDF: 0.014063
word:             was; TF: 0.012982; IDF: 0.693147; TF-IDF: 0.008999
word:            have; TF: 0.006791; IDF: 0.693147; TF-IDF: 0.004707
-------------------------------
word:            soul; TF: 0.000814; IDF: 0.693147; TF-IDF: 0.000564
word:           night; TF: 0.001174; IDF: 0.693147; TF-IDF: 0.000814
word:      alteration; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       similarly; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         western; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           there; TF: 0.004060; IDF: 0.693147; TF-IDF: 0.002814
word:          marble; TF: 0.000084; IDF: 0.693147; TF-IDF: 0.000058
word:     attractions; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         dinners; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         sinking; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:         secrecy; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          author; TF: 0.000036; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000359; IDF: 0.693147; TF-IDF: 0.000249
word:         sternly; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        woodwork; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         created; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:         matters; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:         enabled; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         creates; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        strongly; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:       arbitrary; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       quickened; TF: 0.000060; IDF: 0.693147; TF-IDF: 0.000042
word:          wealth; TF: 0.000072; IDF: 0.693147; TF-IDF: 0.000050
word:          jerkin; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:          refuge; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          manner; TF: 0.000252; IDF: 0.693147; TF-IDF: 0.000174
word:          strict; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           mimic; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:          theory; TF: 0.000096; IDF: 0.693147; TF-IDF: 0.000066
word:          marbre; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:        laughter; TF: 0.000084; IDF: 0.693147; TF-IDF: 0.000058
word:       principle; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:      connection; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:     description; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:     innumerable; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:    congratulate; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:         panting; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       reproduce; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       tasselled; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:           feels; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:        squabble; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:          beheld; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         divided; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          custom; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:           souls; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         homburg; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        streamed; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:          refund; TF: 0.000120; IDF: 0.693147; TF-IDF: 0.000083
word:           sound; TF: 0.000156; IDF: 0.693147; TF-IDF: 0.000108
word:        research; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
