TOP 5:
word:          gregor; TF: 0.011673; IDF: 2.639057; TF-IDF: 0.030807
word:             his; TF: 0.021545; IDF: 0.074108; TF-IDF: 0.001597
word:             was; TF: 0.016061; IDF: 0.074108; TF-IDF: 0.001190
word:               a; TF: 0.013475; IDF: 0.074108; TF-IDF: 0.000999
word:               s; TF: 0.008030; IDF: 0.074108; TF-IDF: 0.000595
-------------------------------
word:           night; TF: 0.000392; IDF: 0.074108; TF-IDF: 0.000029
word:      alteration; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:           there; TF: 0.004231; IDF: 0.074108; TF-IDF: 0.000314
word:          author; TF: 0.000039; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000666; IDF: 0.074108; TF-IDF: 0.000049
word:         created; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:         matters; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:        strongly; TF: 0.000039; IDF: 0.241162; TF-IDF: 0.000009
word:           tools; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:          wealth; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:          strict; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:           dried; TF: 0.000039; IDF: 0.559616; TF-IDF: 0.000022
word:      connection; TF: 0.000039; IDF: 0.241162; TF-IDF: 0.000009
word:      contractor; TF: 0.000039; IDF: 1.252763; TF-IDF: 0.000049
word:         panting; TF: 0.000039; IDF: 0.336472; TF-IDF: 0.000013
word:         divided; TF: 0.000039; IDF: 0.241162; TF-IDF: 0.000009
word:        inedible; TF: 0.000039; IDF: 2.639057; TF-IDF: 0.000103
word:          refund; TF: 0.000392; IDF: 0.074108; TF-IDF: 0.000029
word:           sound; TF: 0.000274; IDF: 0.074108; TF-IDF: 0.000020
word:        research; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:      personally; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:          strike; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:          spoken; TF: 0.000078; IDF: 0.154151; TF-IDF: 0.000012
word:        indicate; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:     prominently; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:           drink; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:          refuse; TF: 0.000039; IDF: 0.241162; TF-IDF: 0.000009
word:          behest; TF: 0.000039; IDF: 2.639057; TF-IDF: 0.000103
word:            spin; TF: 0.000039; IDF: 0.847298; TF-IDF: 0.000033
word:            spit; TF: 0.000078; IDF: 1.252763; TF-IDF: 0.000098
word:           avoid; TF: 0.000118; IDF: 0.154151; TF-IDF: 0.000018
word:         bedroom; TF: 0.000157; IDF: 0.336472; TF-IDF: 0.000053
word:           floor; TF: 0.000862; IDF: 0.241162; TF-IDF: 0.000208
word:     disclaimers; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:           drive; TF: 0.000157; IDF: 0.074108; TF-IDF: 0.000012
word:            spot; TF: 0.000118; IDF: 0.074108; TF-IDF: 0.000009
word:           wiped; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:      carelessly; TF: 0.000039; IDF: 0.693147; TF-IDF: 0.000027
word:           cross; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:   possibilities; TF: 0.000039; IDF: 1.029619; TF-IDF: 0.000040
word:     interpreted; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:      mindlessly; TF: 0.000039; IDF: 2.639057; TF-IDF: 0.000103
word:            weak; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:     enunciating; TF: 0.000039; IDF: 1.540445; TF-IDF: 0.000060
word:       violinist; TF: 0.000039; IDF: 2.639057; TF-IDF: 0.000103
word:         uniting; TF: 0.000039; IDF: 1.252763; TF-IDF: 0.000049
word:      noticeable; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:          saying; TF: 0.000157; IDF: 0.074108; TF-IDF: 0.000012
word:          feeble; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:      noticeably; TF: 0.000039; IDF: 2.639057; TF-IDF: 0.000103
word:       invisible; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:            week; TF: 0.000078; IDF: 0.154151; TF-IDF: 0.000012
word:           patch; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:         courage; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:        deepness; TF: 0.000039; IDF: 1.540445; TF-IDF: 0.000060
word:          giving; TF: 0.000118; IDF: 0.074108; TF-IDF: 0.000009
word:      performing; TF: 0.000118; IDF: 0.074108; TF-IDF: 0.000009
word:         english; TF: 0.000039; IDF: 0.000000; TF-IDF: 0.000000
word:            name; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:         revenue; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:       confusion; TF: 0.000078; IDF: 0.336472; TF-IDF: 0.000026
word:            well; TF: 0.001254; IDF: 0.074108; TF-IDF: 0.000093
word:         relaxed; TF: 0.000039; IDF: 0.847298; TF-IDF: 0.000033
