TOP 5:
word:             jim; TF: 0.003246; IDF: 1.466337; TF-IDF: 0.004759
word:          nigger; TF: 0.001366; IDF: 1.871802; TF-IDF: 0.002557
word:             tom; TF: 0.002020; IDF: 0.955511; TF-IDF: 0.001930
word:               t; TF: 0.017577; IDF: 0.080043; TF-IDF: 0.001407
word:             was; TF: 0.017155; IDF: 0.080043; TF-IDF: 0.001373
-------------------------------
word:      contracted; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:            soul; TF: 0.000041; IDF: 0.262364; TF-IDF: 0.000011
word:            soun; TF: 0.000025; IDF: 1.871802; TF-IDF: 0.000046
word:            soup; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:       unregular; TF: 0.000050; IDF: 0.485508; TF-IDF: 0.000024
word:        sapheads; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           night; TF: 0.001143; IDF: 0.080043; TF-IDF: 0.000091
word:          sultry; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:          talent; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:      alteration; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:         flipped; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           there; TF: 0.005373; IDF: 0.080043; TF-IDF: 0.000430
word:          marble; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:         dinners; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:         sinking; TF: 0.000025; IDF: 0.485508; TF-IDF: 0.000012
word:         gardens; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:          jerked; TF: 0.000025; IDF: 0.955511; TF-IDF: 0.000024
word:          author; TF: 0.000017; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000621; IDF: 0.080043; TF-IDF: 0.000050
word:          cipher; TF: 0.000017; IDF: 1.871802; TF-IDF: 0.000031
word:         stomach; TF: 0.000066; IDF: 0.955511; TF-IDF: 0.000063
word:         laigged; TF: 0.000017; IDF: 1.466337; TF-IDF: 0.000024
word:         created; TF: 0.000025; IDF: 0.080043; TF-IDF: 0.000002
word:         matters; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:           glide; TF: 0.000025; IDF: 1.871802; TF-IDF: 0.000046
word:      palavering; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:          hanged; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:           tools; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:          manned; TF: 0.000017; IDF: 1.871802; TF-IDF: 0.000031
word:         dilemma; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:          manner; TF: 0.000008; IDF: 0.167054; TF-IDF: 0.000001
word:          strict; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:          theory; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:       rascality; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:          ruther; TF: 0.000083; IDF: 0.367725; TF-IDF: 0.000030
word:           dried; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:          lumber; TF: 0.000025; IDF: 1.178655; TF-IDF: 0.000029
word:       principle; TF: 0.000017; IDF: 0.262364; TF-IDF: 0.000004
word:      connection; TF: 0.000008; IDF: 0.262364; TF-IDF: 0.000002
word:         catfish; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000049
word:           float; TF: 0.000083; IDF: 1.178655; TF-IDF: 0.000098
word:         panting; TF: 0.000017; IDF: 0.367725; TF-IDF: 0.000006
word:           drift; TF: 0.000050; IDF: 0.955511; TF-IDF: 0.000047
word:        cabbages; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:           feels; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:           flock; TF: 0.000017; IDF: 0.773190; TF-IDF: 0.000013
word:        illinois; TF: 0.000124; IDF: 1.871802; TF-IDF: 0.000232
word:         douglas; TF: 0.000025; IDF: 1.871802; TF-IDF: 0.000046
word:         divided; TF: 0.000017; IDF: 0.262364; TF-IDF: 0.000004
word:          custom; TF: 0.000017; IDF: 0.262364; TF-IDF: 0.000004
word:           souls; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:           tooth; TF: 0.000025; IDF: 0.955511; TF-IDF: 0.000024
word:          refund; TF: 0.000083; IDF: 0.080043; TF-IDF: 0.000007
word:           sound; TF: 0.000298; IDF: 0.080043; TF-IDF: 0.000024
word:        research; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:         bedtime; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:         anybody; TF: 0.000604; IDF: 0.367725; TF-IDF: 0.000222
word:          strike; TF: 0.000058; IDF: 0.167054; TF-IDF: 0.000010
word:       wondering; TF: 0.000075; IDF: 0.262364; TF-IDF: 0.000020
word:       represent; TF: 0.000017; IDF: 0.485508; TF-IDF: 0.000008
word:          spokes; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:       jackstaff; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:            spec; TF: 0.000058; IDF: 1.871802; TF-IDF: 0.000108
word:            spen; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:        indicate; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:     prominently; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:     churchyards; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:        unlikely; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:           drink; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:          string; TF: 0.000050; IDF: 0.773190; TF-IDF: 0.000038
word:        trembled; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:        cheerful; TF: 0.000017; IDF: 0.485508; TF-IDF: 0.000008
word:         secrets; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:           south; TF: 0.000075; IDF: 0.262364; TF-IDF: 0.000020
word:            spin; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:         packing; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:      staterooms; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           paste; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:         century; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:         bedroom; TF: 0.000017; IDF: 0.367725; TF-IDF: 0.000006
word:        tremblin; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           floor; TF: 0.000240; IDF: 0.262364; TF-IDF: 0.000063
word:     disclaimers; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:          riddle; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:          popped; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:       sorrowful; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000026
word:         dolphin; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:          lumbus; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:        dreadful; TF: 0.000075; IDF: 0.367725; TF-IDF: 0.000027
