TOP 5:
word:           lorry; TF: 0.002608; IDF: 2.564949; TF-IDF: 0.006689
word:         manette; TF: 0.001152; IDF: 2.564949; TF-IDF: 0.002955
word:          carton; TF: 0.001110; IDF: 2.564949; TF-IDF: 0.002846
word:          darnay; TF: 0.001046; IDF: 2.564949; TF-IDF: 0.002683
word:           jerry; TF: 0.000763; IDF: 2.564949; TF-IDF: 0.001958
-------------------------------
word:      contracted; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000014
word:            soul; TF: 0.000127; IDF: 0.262364; TF-IDF: 0.000033
word:            soup; TF: 0.000007; IDF: 0.619039; TF-IDF: 0.000004
word:    completeness; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:            sour; TF: 0.000007; IDF: 0.485508; TF-IDF: 0.000003
word:           night; TF: 0.001555; IDF: 0.080043; TF-IDF: 0.000124
word:          sultry; TF: 0.000014; IDF: 1.871802; TF-IDF: 0.000026
word:         parcels; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:      alteration; TF: 0.000007; IDF: 0.080043; TF-IDF: 0.000001
word:         pistols; TF: 0.000021; IDF: 1.178655; TF-IDF: 0.000025
word:       similarly; TF: 0.000042; IDF: 1.466337; TF-IDF: 0.000062
word:            sown; TF: 0.000014; IDF: 1.178655; TF-IDF: 0.000017
word:           there; TF: 0.004149; IDF: 0.080043; TF-IDF: 0.000332
word:          marble; TF: 0.000007; IDF: 0.619039; TF-IDF: 0.000004
word:         dismiss; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:        december; TF: 0.000021; IDF: 0.485508; TF-IDF: 0.000010
word:          drying; TF: 0.000035; IDF: 0.619039; TF-IDF: 0.000022
word:         sinking; TF: 0.000021; IDF: 0.485508; TF-IDF: 0.000010
word:         winning; TF: 0.000021; IDF: 0.619039; TF-IDF: 0.000013
word:         verging; TF: 0.000028; IDF: 0.955511; TF-IDF: 0.000027
word:          jerked; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000014
word:         suction; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:         secrecy; TF: 0.000028; IDF: 0.619039; TF-IDF: 0.000018
word:          author; TF: 0.000007; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.001329; IDF: 0.080043; TF-IDF: 0.000106
word:        joyfully; TF: 0.000007; IDF: 0.955511; TF-IDF: 0.000007
word:        claptrap; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:         sternly; TF: 0.000028; IDF: 0.955511; TF-IDF: 0.000027
word:         created; TF: 0.000014; IDF: 0.080043; TF-IDF: 0.000001
word:     attentively; TF: 0.000035; IDF: 0.955511; TF-IDF: 0.000034
word:         matters; TF: 0.000042; IDF: 0.080043; TF-IDF: 0.000003
word:        locality; TF: 0.000007; IDF: 0.955511; TF-IDF: 0.000007
word:         enables; TF: 0.000007; IDF: 0.955511; TF-IDF: 0.000007
word:         reposed; TF: 0.000014; IDF: 1.871802; TF-IDF: 0.000026
word:          hanged; TF: 0.000049; IDF: 1.178655; TF-IDF: 0.000058
word:       towelling; TF: 0.000021; IDF: 1.466337; TF-IDF: 0.000031
word:        strongly; TF: 0.000085; IDF: 0.262364; TF-IDF: 0.000022
word:           tools; TF: 0.000106; IDF: 0.485508; TF-IDF: 0.000051
word:       quickened; TF: 0.000021; IDF: 1.178655; TF-IDF: 0.000025
word:          refuge; TF: 0.000021; IDF: 0.619039; TF-IDF: 0.000013
word:      composedly; TF: 0.000042; IDF: 1.466337; TF-IDF: 0.000062
word:          manner; TF: 0.000657; IDF: 0.167054; TF-IDF: 0.000110
word:          strict; TF: 0.000028; IDF: 0.080043; TF-IDF: 0.000002
word:          hiring; TF: 0.000007; IDF: 0.955511; TF-IDF: 0.000007
word:          theory; TF: 0.000021; IDF: 0.485508; TF-IDF: 0.000010
word:         melting; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:        laughter; TF: 0.000007; IDF: 0.367725; TF-IDF: 0.000003
word:          lumber; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:       principle; TF: 0.000007; IDF: 0.262364; TF-IDF: 0.000002
word:      connection; TF: 0.000028; IDF: 0.262364; TF-IDF: 0.000007
word:           drier; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:     description; TF: 0.000035; IDF: 0.367725; TF-IDF: 0.000013
word:       placidity; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:    congratulate; TF: 0.000014; IDF: 0.773190; TF-IDF: 0.000011
word:         panting; TF: 0.000035; IDF: 0.367725; TF-IDF: 0.000013
word:      insensible; TF: 0.000049; IDF: 1.466337; TF-IDF: 0.000073
word:          strife; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:       excursion; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:          anchor; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
