TOP 5:
word:           alice; TF: 0.013248; IDF: 1.540445; TF-IDF: 0.020408
word:          hatter; TF: 0.001841; IDF: 2.639057; TF-IDF: 0.004858
word:              to; TF: 0.026595; IDF: 0.074108; TF-IDF: 0.001971
word:               a; TF: 0.022683; IDF: 0.074108; TF-IDF: 0.001681
word:             she; TF: 0.018179; IDF: 0.074108; TF-IDF: 0.001347
-------------------------------
word:            soup; TF: 0.000592; IDF: 0.559616; TF-IDF: 0.000331
word:            sour; TF: 0.000033; IDF: 0.441833; TF-IDF: 0.000015
word:           night; TF: 0.000164; IDF: 0.074108; TF-IDF: 0.000012
word:          behead; TF: 0.000033; IDF: 2.639057; TF-IDF: 0.000087
word:      alteration; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:           there; TF: 0.003320; IDF: 0.074108; TF-IDF: 0.000246
word:        december; TF: 0.000033; IDF: 0.441833; TF-IDF: 0.000015
word:          author; TF: 0.000033; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000559; IDF: 0.074108; TF-IDF: 0.000041
word:         sternly; TF: 0.000033; IDF: 0.847298; TF-IDF: 0.000028
word:         created; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:         matters; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:          manner; TF: 0.000066; IDF: 0.154151; TF-IDF: 0.000010
word:          strict; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:    thunderstorm; TF: 0.000033; IDF: 1.945910; TF-IDF: 0.000064
word:        laughter; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:           dried; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:            ahem; TF: 0.000033; IDF: 2.639057; TF-IDF: 0.000087
word:         panting; TF: 0.000066; IDF: 0.336472; TF-IDF: 0.000022
word:        atheling; TF: 0.000033; IDF: 1.540445; TF-IDF: 0.000051
word:           flock; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:          refund; TF: 0.000329; IDF: 0.074108; TF-IDF: 0.000024
word:         sneezed; TF: 0.000033; IDF: 1.029619; TF-IDF: 0.000034
