TOP 5:
word:      castruccio; TF: 0.002699; IDF: 2.639057; TF-IDF: 0.007122
word:     florentines; TF: 0.001159; IDF: 2.639057; TF-IDF: 0.003059
word:            duke; TF: 0.001729; IDF: 1.029619; TF-IDF: 0.001781
word:              in; TF: 0.018891; IDF: 0.074108; TF-IDF: 0.001400
word:          valour; TF: 0.000513; IDF: 2.639057; TF-IDF: 0.001354
-------------------------------
word:            soul; TF: 0.000095; IDF: 0.241162; TF-IDF: 0.000023
word:       retainers; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:           night; TF: 0.000228; IDF: 0.074108; TF-IDF: 0.000017
word:          talent; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:      alteration; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:      proclaimed; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:       similarly; TF: 0.000038; IDF: 1.540445; TF-IDF: 0.000059
word:        marquess; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:        unjudged; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:           there; TF: 0.002376; IDF: 0.074108; TF-IDF: 0.000176
word:        december; TF: 0.000095; IDF: 0.441833; TF-IDF: 0.000042
word:         winning; TF: 0.000057; IDF: 0.559616; TF-IDF: 0.000032
word:         gardens; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:         secrecy; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:          author; TF: 0.000057; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.002052; IDF: 0.074108; TF-IDF: 0.000152
word:          signor; TF: 0.000057; IDF: 2.639057; TF-IDF: 0.000150
word:        lodovico; TF: 0.000076; IDF: 1.540445; TF-IDF: 0.000117
word:         created; TF: 0.000228; IDF: 0.074108; TF-IDF: 0.000017
word:     attentively; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:         matters; TF: 0.000190; IDF: 0.074108; TF-IDF: 0.000014
word:         enabled; TF: 0.000095; IDF: 0.441833; TF-IDF: 0.000042
word:        locality; TF: 0.000019; IDF: 1.029619; TF-IDF: 0.000020
word:         enables; TF: 0.000038; IDF: 1.029619; TF-IDF: 0.000039
word:        strongly; TF: 0.000038; IDF: 0.241162; TF-IDF: 0.000009
word:         conform; TF: 0.000038; IDF: 1.252763; TF-IDF: 0.000048
word:         spartan; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:          refuge; TF: 0.000038; IDF: 0.559616; TF-IDF: 0.000021
word:          manner; TF: 0.000095; IDF: 0.154151; TF-IDF: 0.000015
word:          strict; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:       principle; TF: 0.000038; IDF: 0.241162; TF-IDF: 0.000009
word:      connection; TF: 0.000038; IDF: 0.241162; TF-IDF: 0.000009
word:     description; TF: 0.000057; IDF: 0.336472; TF-IDF: 0.000019
word:          guerra; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:          beheld; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:         divided; TF: 0.000171; IDF: 0.241162; TF-IDF: 0.000041
word:          israel; TF: 0.000057; IDF: 1.945910; TF-IDF: 0.000111
word:          custom; TF: 0.000057; IDF: 0.241162; TF-IDF: 0.000014
word:         divides; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:            spat; TF: 0.000038; IDF: 1.945910; TF-IDF: 0.000074
word:           croce; TF: 0.000038; IDF: 2.639057; TF-IDF: 0.000100
word:          refund; TF: 0.000190; IDF: 0.074108; TF-IDF: 0.000014
word:           sound; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:          debate; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:        research; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:          trifle; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:         enraged; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:      personally; TF: 0.000076; IDF: 0.441833; TF-IDF: 0.000034
word:          strike; TF: 0.000019; IDF: 0.154151; TF-IDF: 0.000003
word:       wondering; TF: 0.000038; IDF: 0.241162; TF-IDF: 0.000009
word:          spoken; TF: 0.000133; IDF: 0.154151; TF-IDF: 0.000021
word:       obedience; TF: 0.000171; IDF: 1.029619; TF-IDF: 0.000176
word:        indicate; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:     prominently; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:     undoubtedly; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:      bracceschi; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:       entreated; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:           drink; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:       prospered; TF: 0.000038; IDF: 1.540445; TF-IDF: 0.000059
word:   compassionate; TF: 0.000038; IDF: 0.847298; TF-IDF: 0.000032
word:        trembles; TF: 0.000057; IDF: 0.693147; TF-IDF: 0.000040
word:          refuse; TF: 0.000057; IDF: 0.241162; TF-IDF: 0.000014
word:         secrets; TF: 0.000019; IDF: 0.241162; TF-IDF: 0.000005
word:          burden; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:           south; TF: 0.000019; IDF: 0.241162; TF-IDF: 0.000005
word:            spit; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:           avoid; TF: 0.000380; IDF: 0.154151; TF-IDF: 0.000059
word:           axiom; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:           flood; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:        banished; TF: 0.000038; IDF: 1.252763; TF-IDF: 0.000048
word:     disclaimers; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:       malignity; TF: 0.000038; IDF: 2.639057; TF-IDF: 0.000100
word:      hereditary; TF: 0.000190; IDF: 1.540445; TF-IDF: 0.000293
word:           drive; TF: 0.000190; IDF: 0.074108; TF-IDF: 0.000014
word:        macrinus; TF: 0.000038; IDF: 2.639057; TF-IDF: 0.000100
word:          strive; TF: 0.000057; IDF: 1.029619; TF-IDF: 0.000059
word:            spot; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:         revenge; TF: 0.000038; IDF: 0.559616; TF-IDF: 0.000021
word:           wiped; TF: 0.000057; IDF: 0.441833; TF-IDF: 0.000025
word:          snowed; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:     individuals; TF: 0.000019; IDF: 1.029619; TF-IDF: 0.000020
word:       inferiors; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:           cross; TF: 0.000057; IDF: 0.074108; TF-IDF: 0.000004
word:         kingdom; TF: 0.000589; IDF: 0.559616; TF-IDF: 0.000330
word:     interpreted; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:     established; TF: 0.000190; IDF: 0.441833; TF-IDF: 0.000084
word:     revolutions; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:        deterred; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:           crown; TF: 0.000038; IDF: 0.441833; TF-IDF: 0.000017
word:            weak; TF: 0.000076; IDF: 0.074108; TF-IDF: 0.000006
word:          deputy; TF: 0.000057; IDF: 1.252763; TF-IDF: 0.000071
word:        mornings; TF: 0.000019; IDF: 0.241162; TF-IDF: 0.000005
word:       political; TF: 0.000057; IDF: 0.441833; TF-IDF: 0.000025
word:          chiefs; TF: 0.000038; IDF: 0.559616; TF-IDF: 0.000021
word:         propose; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:     councillors; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:           minds; TF: 0.000095; IDF: 0.241162; TF-IDF: 0.000023
word:      noticeable; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:          saying; TF: 0.000209; IDF: 0.074108; TF-IDF: 0.000015
word:       campaigns; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:        survived; TF: 0.000038; IDF: 0.559616; TF-IDF: 0.000021
word:          commit; TF: 0.000038; IDF: 0.241162; TF-IDF: 0.000009
word:        respects; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:         courage; TF: 0.000266; IDF: 0.154151; TF-IDF: 0.000041
word:        interval; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:         emperor; TF: 0.000342; IDF: 0.847298; TF-IDF: 0.000290
word:        absolute; TF: 0.000057; IDF: 0.441833; TF-IDF: 0.000025
word:      discussing; TF: 0.000057; IDF: 0.693147; TF-IDF: 0.000040
word:  inconsiderable; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:      discussion; TF: 0.000076; IDF: 0.441833; TF-IDF: 0.000034
word:          giving; TF: 0.000171; IDF: 0.074108; TF-IDF: 0.000013
word:      performing; TF: 0.000057; IDF: 0.074108; TF-IDF: 0.000004
word:         english; TF: 0.000095; IDF: 0.000000; TF-IDF: 0.000000
word:         immense; TF: 0.000076; IDF: 0.559616; TF-IDF: 0.000043
word:            name; TF: 0.000228; IDF: 0.074108; TF-IDF: 0.000017
word:         revenue; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:           paths; TF: 0.000038; IDF: 0.847298; TF-IDF: 0.000032
word:       confusion; TF: 0.000038; IDF: 0.336472; TF-IDF: 0.000013
word:        promised; TF: 0.000076; IDF: 0.241162; TF-IDF: 0.000018
word:      unsettling; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:        promises; TF: 0.000095; IDF: 0.693147; TF-IDF: 0.000066
word:          common; TF: 0.000171; IDF: 0.154151; TF-IDF: 0.000026
word:        champion; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:          marcus; TF: 0.000152; IDF: 1.945910; TF-IDF: 0.000296
word:      consummate; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:            well; TF: 0.001064; IDF: 0.074108; TF-IDF: 0.000079
word:          answer; TF: 0.000114; IDF: 0.074108; TF-IDF: 0.000008
word:     contemplate; TF: 0.000038; IDF: 0.847298; TF-IDF: 0.000032
word:            went; TF: 0.000380; IDF: 0.074108; TF-IDF: 0.000028
word:           minor; TF: 0.000076; IDF: 1.540445; TF-IDF: 0.000117
word:          degree; TF: 0.000190; IDF: 0.154151; TF-IDF: 0.000029
word:        prologue; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:   consideration; TF: 0.000114; IDF: 0.241162; TF-IDF: 0.000027
word:       steadfast; TF: 0.000076; IDF: 0.847298; TF-IDF: 0.000064
word:          fellow; TF: 0.000057; IDF: 0.154151; TF-IDF: 0.000009
word:            aims; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:            were; TF: 0.003668; IDF: 0.074108; TF-IDF: 0.000272
word:         rightly; TF: 0.000019; IDF: 0.241162; TF-IDF: 0.000005
word:        clearing; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:        castello; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:            west; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
