TOP 5:
word:           darcy; TF: 0.003320; IDF: 2.639057; TF-IDF: 0.008762
word:              to; TF: 0.033702; IDF: 0.074108; TF-IDF: 0.002498
word:         collins; TF: 0.001430; IDF: 1.540445; TF-IDF: 0.002202
word:       longbourn; TF: 0.000699; IDF: 2.639057; TF-IDF: 0.001845
word:               i; TF: 0.016450; IDF: 0.074108; TF-IDF: 0.001219
-------------------------------
word:      contracted; TF: 0.000024; IDF: 0.847298; TF-IDF: 0.000020
word:            soul; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:            soup; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:            sour; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:           night; TF: 0.000278; IDF: 0.074108; TF-IDF: 0.000021
word:         decorum; TF: 0.000032; IDF: 1.540445; TF-IDF: 0.000049
word:          talent; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:         parcels; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:        effusion; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:      alteration; TF: 0.000064; IDF: 0.074108; TF-IDF: 0.000005
word:        civility; TF: 0.000342; IDF: 1.540445; TF-IDF: 0.000526
word:           there; TF: 0.002836; IDF: 0.074108; TF-IDF: 0.000210
word:     attractions; TF: 0.000032; IDF: 1.540445; TF-IDF: 0.000049
word:      solicitude; TF: 0.000079; IDF: 0.559616; TF-IDF: 0.000044
word:         sinking; TF: 0.000024; IDF: 0.441833; TF-IDF: 0.000011
word:         secrecy; TF: 0.000079; IDF: 0.693147; TF-IDF: 0.000055
word:          author; TF: 0.000008; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000572; IDF: 0.074108; TF-IDF: 0.000042
word:        joyfully; TF: 0.000008; IDF: 0.847298; TF-IDF: 0.000007
word:         created; TF: 0.000056; IDF: 0.074108; TF-IDF: 0.000004
word:     attentively; TF: 0.000024; IDF: 0.847298; TF-IDF: 0.000020
word:         matters; TF: 0.000064; IDF: 0.074108; TF-IDF: 0.000005
