TOP 5:
word:          holmes; TF: 0.004284; IDF: 1.871802; TF-IDF: 0.008020
word:               i; TF: 0.027872; IDF: 0.080043; TF-IDF: 0.002231
word:               a; TF: 0.024780; IDF: 0.080043; TF-IDF: 0.001983
word:        sherlock; TF: 0.000936; IDF: 1.871802; TF-IDF: 0.001752
word:           simon; TF: 0.000367; IDF: 1.871802; TF-IDF: 0.000687
-------------------------------
word:            soul; TF: 0.000092; IDF: 0.262364; TF-IDF: 0.000024
word:            sour; TF: 0.000009; IDF: 0.485508; TF-IDF: 0.000004
word:           night; TF: 0.001083; IDF: 0.080043; TF-IDF: 0.000087
word:          talent; TF: 0.000009; IDF: 0.485508; TF-IDF: 0.000004
word:      alteration; TF: 0.000119; IDF: 0.080043; TF-IDF: 0.000010
word:      proclaimed; TF: 0.000009; IDF: 0.955511; TF-IDF: 0.000009
word:         western; TF: 0.000009; IDF: 0.619039; TF-IDF: 0.000006
word:           there; TF: 0.004743; IDF: 0.080043; TF-IDF: 0.000380
word:        pursuers; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:          marble; TF: 0.000009; IDF: 0.619039; TF-IDF: 0.000006
word:         columns; TF: 0.000018; IDF: 1.466337; TF-IDF: 0.000027
word:     attractions; TF: 0.000009; IDF: 1.466337; TF-IDF: 0.000013
word:           loans; TF: 0.000009; IDF: 2.564949; TF-IDF: 0.000024
word:        december; TF: 0.000018; IDF: 0.485508; TF-IDF: 0.000009
word:         sinking; TF: 0.000028; IDF: 0.485508; TF-IDF: 0.000013
word:         walsall; TF: 0.000009; IDF: 0.619039; TF-IDF: 0.000006
word:          jerked; TF: 0.000018; IDF: 0.955511; TF-IDF: 0.000018
word:         secrecy; TF: 0.000064; IDF: 0.619039; TF-IDF: 0.000040
word:          author; TF: 0.000009; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000761; IDF: 0.080043; TF-IDF: 0.000061
word:         sternly; TF: 0.000018; IDF: 0.955511; TF-IDF: 0.000018
word:         created; TF: 0.000028; IDF: 0.080043; TF-IDF: 0.000002
word:         matters; TF: 0.000183; IDF: 0.080043; TF-IDF: 0.000015
word:         enabled; TF: 0.000009; IDF: 0.485508; TF-IDF: 0.000004
word:        locality; TF: 0.000009; IDF: 0.955511; TF-IDF: 0.000009
word:         enables; TF: 0.000009; IDF: 0.955511; TF-IDF: 0.000009
word:          hanged; TF: 0.000028; IDF: 1.178655; TF-IDF: 0.000032
word:        strongly; TF: 0.000046; IDF: 0.262364; TF-IDF: 0.000012
word:       blockaded; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:           tools; TF: 0.000009; IDF: 0.485508; TF-IDF: 0.000004
