TOP 5:
word:           harry; TF: 0.002132; IDF: 1.871802; TF-IDF: 0.003990
word:           basil; TF: 0.001892; IDF: 1.466337; TF-IDF: 0.002775
word:              to; TF: 0.026120; IDF: 0.080043; TF-IDF: 0.002091
word:            gray; TF: 0.002455; IDF: 0.773190; TF-IDF: 0.001898
word:               a; TF: 0.020719; IDF: 0.080043; TF-IDF: 0.001658
-------------------------------
word:            soul; TF: 0.000814; IDF: 0.262364; TF-IDF: 0.000214
word:           night; TF: 0.001174; IDF: 0.080043; TF-IDF: 0.000094
word:      alteration; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:       similarly; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:         western; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:           there; TF: 0.004060; IDF: 0.080043; TF-IDF: 0.000325
word:          marble; TF: 0.000084; IDF: 0.619039; TF-IDF: 0.000052
word:     attractions; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:         dinners; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:         sinking; TF: 0.000036; IDF: 0.485508; TF-IDF: 0.000017
word:         secrecy; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:          author; TF: 0.000036; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000359; IDF: 0.080043; TF-IDF: 0.000029
word:         sternly; TF: 0.000012; IDF: 0.955511; TF-IDF: 0.000011
word:        woodwork; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:         created; TF: 0.000048; IDF: 0.080043; TF-IDF: 0.000004
word:         matters; TF: 0.000048; IDF: 0.080043; TF-IDF: 0.000004
word:         enabled; TF: 0.000012; IDF: 0.485508; TF-IDF: 0.000006
word:         creates; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:        strongly; TF: 0.000048; IDF: 0.262364; TF-IDF: 0.000013
word:       arbitrary; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
