TOP 5:
word:            type; TF: 0.007445; IDF: 0.693147; TF-IDF: 0.005160
word:         osseous; TF: 0.002621; IDF: 1.252763; TF-IDF: 0.003284
word:        muscular; TF: 0.002683; IDF: 1.029619; TF-IDF: 0.002763
word:               a; TF: 0.020922; IDF: 0.074108; TF-IDF: 0.001551
word:             his; TF: 0.012392; IDF: 0.074108; TF-IDF: 0.000918
-------------------------------
word:            soul; TF: 0.000062; IDF: 0.241162; TF-IDF: 0.000015
word:    completeness; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:           night; TF: 0.000202; IDF: 0.074108; TF-IDF: 0.000015
word:          talent; TF: 0.000062; IDF: 0.441833; TF-IDF: 0.000027
word:      alteration; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:         western; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:           there; TF: 0.001256; IDF: 0.074108; TF-IDF: 0.000093
word:        december; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:         dinners; TF: 0.000031; IDF: 0.559616; TF-IDF: 0.000017
word:         winning; TF: 0.000047; IDF: 0.559616; TF-IDF: 0.000026
word:          author; TF: 0.000031; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.002373; IDF: 0.074108; TF-IDF: 0.000176
word:        joyfully; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:         stomach; TF: 0.000388; IDF: 0.847298; TF-IDF: 0.000329
word:        savoring; TF: 0.000031; IDF: 1.540445; TF-IDF: 0.000048
word:         created; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:         matters; TF: 0.000031; IDF: 0.074108; TF-IDF: 0.000002
word:         affable; TF: 0.000047; IDF: 0.441833; TF-IDF: 0.000021
word:         creates; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:        locality; TF: 0.000031; IDF: 1.029619; TF-IDF: 0.000032
word:         enables; TF: 0.000047; IDF: 1.029619; TF-IDF: 0.000048
word:         raymond; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:          yachts; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:        strongly; TF: 0.000047; IDF: 0.241162; TF-IDF: 0.000011
word:           tools; TF: 0.000062; IDF: 0.441833; TF-IDF: 0.000027
word:         conform; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:          wealth; TF: 0.000031; IDF: 0.441833; TF-IDF: 0.000014
word:          manner; TF: 0.000140; IDF: 0.154151; TF-IDF: 0.000022
word:           diego; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:          strict; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:        effusive; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:        contests; TF: 0.000031; IDF: 0.847298; TF-IDF: 0.000026
word:          theory; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:          stride; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:  revolutionized; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:          lumber; TF: 0.000031; IDF: 1.252763; TF-IDF: 0.000039
word:       principle; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:      connection; TF: 0.000109; IDF: 0.241162; TF-IDF: 0.000026
word:     description; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:    predominated; TF: 0.000031; IDF: 1.540445; TF-IDF: 0.000048
word:           feels; TF: 0.000202; IDF: 0.441833; TF-IDF: 0.000089
word:    predominates; TF: 0.000124; IDF: 1.029619; TF-IDF: 0.000128
word:         bedrock; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:     submergence; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        shanghai; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:         divided; TF: 0.000031; IDF: 0.241162; TF-IDF: 0.000007
word:          custom; TF: 0.000047; IDF: 0.241162; TF-IDF: 0.000011
word:      deficiency; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:          rarity; TF: 0.000047; IDF: 1.540445; TF-IDF: 0.000072
word:           souls; TF: 0.000031; IDF: 0.441833; TF-IDF: 0.000014
word:          refund; TF: 0.000155; IDF: 0.074108; TF-IDF: 0.000011
word:      dimensions; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:        research; TF: 0.000047; IDF: 0.074108; TF-IDF: 0.000003
word:          trifle; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:         creator; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:         anybody; TF: 0.000093; IDF: 0.336472; TF-IDF: 0.000031
word:          banker; TF: 0.000093; IDF: 0.441833; TF-IDF: 0.000041
word:          strike; TF: 0.000047; IDF: 0.154151; TF-IDF: 0.000007
word:       initiated; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:          spoken; TF: 0.000047; IDF: 0.154151; TF-IDF: 0.000007
word:       represent; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:         ragtime; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:   uninterrupted; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:    interference; TF: 0.000031; IDF: 0.847298; TF-IDF: 0.000026
word:        indicate; TF: 0.000109; IDF: 0.074108; TF-IDF: 0.000008
word:     prominently; TF: 0.000031; IDF: 0.074108; TF-IDF: 0.000002
word:          ridden; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:         resists; TF: 0.000062; IDF: 1.945910; TF-IDF: 0.000121
word:           drink; TF: 0.000047; IDF: 0.074108; TF-IDF: 0.000003
word:          string; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:         dealing; TF: 0.000093; IDF: 0.693147; TF-IDF: 0.000065
word:          refuse; TF: 0.000047; IDF: 0.241162; TF-IDF: 0.000011
word:        cheerful; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:       bachelors; TF: 0.000047; IDF: 1.252763; TF-IDF: 0.000058
word:         secrete; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:         secrets; TF: 0.000078; IDF: 0.241162; TF-IDF: 0.000019
word:        operatic; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:      unchanging; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:           south; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:      dreaminess; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:           avoid; TF: 0.000869; IDF: 0.154151; TF-IDF: 0.000134
word:     flirtations; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:         century; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:        rapidity; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:         bedroom; TF: 0.000031; IDF: 0.336472; TF-IDF: 0.000010
word:           floor; TF: 0.000031; IDF: 0.241162; TF-IDF: 0.000007
word:     disclaimers; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:          riddle; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        mechanic; TF: 0.000031; IDF: 2.639057; TF-IDF: 0.000082
word:       sorrowful; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        boulders; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:           crook; TF: 0.000062; IDF: 0.074108; TF-IDF: 0.000005
word:          london; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:            spot; TF: 0.000062; IDF: 0.074108; TF-IDF: 0.000005
word:   impulsiveness; TF: 0.000031; IDF: 2.639057; TF-IDF: 0.000082
word:     flirtatious; TF: 0.000062; IDF: 1.945910; TF-IDF: 0.000121
word:    civilization; TF: 0.000093; IDF: 0.847298; TF-IDF: 0.000079
word:     individuals; TF: 0.000093; IDF: 1.029619; TF-IDF: 0.000096
