TOP 5:
word:          gregor; TF: 0.011673; IDF: 2.564949; TF-IDF: 0.029942
word:             his; TF: 0.021545; IDF: 0.080043; TF-IDF: 0.001725
word:             was; TF: 0.016061; IDF: 0.080043; TF-IDF: 0.001286
word:               a; TF: 0.013475; IDF: 0.080043; TF-IDF: 0.001079
word:               s; TF: 0.008030; IDF: 0.080043; TF-IDF: 0.000643
-------------------------------
word:           night; TF: 0.000392; IDF: 0.080043; TF-IDF: 0.000031
word:      alteration; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:           there; TF: 0.004231; IDF: 0.080043; TF-IDF: 0.000339
word:          author; TF: 0.000039; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000666; IDF: 0.080043; TF-IDF: 0.000053
word:         created; TF: 0.000078; IDF: 0.080043; TF-IDF: 0.000006
word:         matters; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:        strongly; TF: 0.000039; IDF: 0.262364; TF-IDF: 0.000010
word:           tools; TF: 0.000039; IDF: 0.485508; TF-IDF: 0.000019
word:          wealth; TF: 0.000039; IDF: 0.485508; TF-IDF: 0.000019
word:          strict; TF: 0.000078; IDF: 0.080043; TF-IDF: 0.000006
word:           dried; TF: 0.000039; IDF: 0.619039; TF-IDF: 0.000024
word:      connection; TF: 0.000039; IDF: 0.262364; TF-IDF: 0.000010
word:      contractor; TF: 0.000039; IDF: 1.466337; TF-IDF: 0.000057
word:         panting; TF: 0.000039; IDF: 0.367725; TF-IDF: 0.000014
word:         divided; TF: 0.000039; IDF: 0.262364; TF-IDF: 0.000010
word:        inedible; TF: 0.000039; IDF: 2.564949; TF-IDF: 0.000100
word:          refund; TF: 0.000392; IDF: 0.080043; TF-IDF: 0.000031
word:           sound; TF: 0.000274; IDF: 0.080043; TF-IDF: 0.000022
word:        research; TF: 0.000078; IDF: 0.080043; TF-IDF: 0.000006
word:      personally; TF: 0.000039; IDF: 0.485508; TF-IDF: 0.000019
word:          strike; TF: 0.000039; IDF: 0.167054; TF-IDF: 0.000007
word:          spoken; TF: 0.000078; IDF: 0.167054; TF-IDF: 0.000013
word:        indicate; TF: 0.000078; IDF: 0.080043; TF-IDF: 0.000006
word:     prominently; TF: 0.000078; IDF: 0.080043; TF-IDF: 0.000006
word:           drink; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:          refuse; TF: 0.000039; IDF: 0.262364; TF-IDF: 0.000010
word:          behest; TF: 0.000039; IDF: 2.564949; TF-IDF: 0.000100
word:            spin; TF: 0.000039; IDF: 0.955511; TF-IDF: 0.000037
word:            spit; TF: 0.000078; IDF: 1.178655; TF-IDF: 0.000092
word:           avoid; TF: 0.000118; IDF: 0.167054; TF-IDF: 0.000020
word:         bedroom; TF: 0.000157; IDF: 0.367725; TF-IDF: 0.000058
word:           floor; TF: 0.000862; IDF: 0.262364; TF-IDF: 0.000226
word:     disclaimers; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:           drive; TF: 0.000157; IDF: 0.080043; TF-IDF: 0.000013
word:            spot; TF: 0.000118; IDF: 0.080043; TF-IDF: 0.000009
