TOP 5:
word:           alice; TF: 0.013248; IDF: 1.466337; TF-IDF: 0.019426
word:          hatter; TF: 0.001841; IDF: 2.564949; TF-IDF: 0.004722
word:              to; TF: 0.026595; IDF: 0.080043; TF-IDF: 0.002129
word:               a; TF: 0.022683; IDF: 0.080043; TF-IDF: 0.001816
word:             she; TF: 0.018179; IDF: 0.080043; TF-IDF: 0.001455
-------------------------------
word:            soup; TF: 0.000592; IDF: 0.619039; TF-IDF: 0.000366
word:            sour; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:           night; TF: 0.000164; IDF: 0.080043; TF-IDF: 0.000013
word:          behead; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000084
word:      alteration; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:           there; TF: 0.003320; IDF: 0.080043; TF-IDF: 0.000266
word:        december; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:          author; TF: 0.000033; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000559; IDF: 0.080043; TF-IDF: 0.000045
word:         sternly; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:         created; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:         matters; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:          manner; TF: 0.000066; IDF: 0.167054; TF-IDF: 0.000011
word:          strict; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:    thunderstorm; TF: 0.000033; IDF: 1.871802; TF-IDF: 0.000062
word:        laughter; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:           dried; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:            ahem; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000084
word:         panting; TF: 0.000066; IDF: 0.367725; TF-IDF: 0.000024
word:        atheling; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000048
word:           flock; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:          refund; TF: 0.000329; IDF: 0.080043; TF-IDF: 0.000026
word:         sneezed; TF: 0.000033; IDF: 1.178655; TF-IDF: 0.000039
word:           sound; TF: 0.000131; IDF: 0.080043; TF-IDF: 0.000011
word:        research; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:         sneezes; TF: 0.000066; IDF: 2.564949; TF-IDF: 0.000169
word:       wondering; TF: 0.000230; IDF: 0.262364; TF-IDF: 0.000060
word:          spoken; TF: 0.000033; IDF: 0.167054; TF-IDF: 0.000005
word:        indicate; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:     prominently; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:           drink; TF: 0.000230; IDF: 0.080043; TF-IDF: 0.000018
word:        trembled; TF: 0.000066; IDF: 0.485508; TF-IDF: 0.000032
word:           avoid; TF: 0.000033; IDF: 0.167054; TF-IDF: 0.000005
word:           floor; TF: 0.000099; IDF: 0.262364; TF-IDF: 0.000026
word:     disclaimers; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:          riddle; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:       sorrowful; TF: 0.000066; IDF: 0.773190; TF-IDF: 0.000051
word:        dreadful; TF: 0.000066; IDF: 0.367725; TF-IDF: 0.000024
word:           drive; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:          london; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:            spot; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:           cross; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:     interpreted; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:           crowd; TF: 0.000131; IDF: 0.262364; TF-IDF: 0.000035
word:           crown; TF: 0.000099; IDF: 0.485508; TF-IDF: 0.000048
