TOP 5:
word:           darcy; TF: 0.003320; IDF: 2.564949; TF-IDF: 0.008516
word:              to; TF: 0.033702; IDF: 0.080043; TF-IDF: 0.002698
word:         collins; TF: 0.001430; IDF: 1.466337; TF-IDF: 0.002096
word:             her; TF: 0.017665; IDF: 0.080043; TF-IDF: 0.001414
word:               i; TF: 0.016450; IDF: 0.080043; TF-IDF: 0.001317
-------------------------------
word:      contracted; TF: 0.000024; IDF: 0.955511; TF-IDF: 0.000023
word:            soul; TF: 0.000016; IDF: 0.262364; TF-IDF: 0.000004
word:            soup; TF: 0.000016; IDF: 0.619039; TF-IDF: 0.000010
word:            sour; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:           night; TF: 0.000278; IDF: 0.080043; TF-IDF: 0.000022
word:         decorum; TF: 0.000032; IDF: 1.871802; TF-IDF: 0.000059
word:          talent; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:         parcels; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:        effusion; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:      alteration; TF: 0.000064; IDF: 0.080043; TF-IDF: 0.000005
word:        civility; TF: 0.000342; IDF: 1.871802; TF-IDF: 0.000639
word:           there; TF: 0.002836; IDF: 0.080043; TF-IDF: 0.000227
word:     attractions; TF: 0.000032; IDF: 1.466337; TF-IDF: 0.000047
word:      solicitude; TF: 0.000079; IDF: 0.619039; TF-IDF: 0.000049
word:         sinking; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:         secrecy; TF: 0.000079; IDF: 0.619039; TF-IDF: 0.000049
word:          author; TF: 0.000008; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.000572; IDF: 0.080043; TF-IDF: 0.000046
word:        joyfully; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:         created; TF: 0.000056; IDF: 0.080043; TF-IDF: 0.000004
word:     attentively; TF: 0.000024; IDF: 0.955511; TF-IDF: 0.000023
word:         matters; TF: 0.000064; IDF: 0.080043; TF-IDF: 0.000005
word:         affable; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:        strongly; TF: 0.000064; IDF: 0.262364; TF-IDF: 0.000017
word:          wealth; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:          refuge; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:      composedly; TF: 0.000024; IDF: 1.466337; TF-IDF: 0.000035
word:          manner; TF: 0.000778; IDF: 0.167054; TF-IDF: 0.000130
word:          strict; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:         publish; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:        laughter; TF: 0.000016; IDF: 0.367725; TF-IDF: 0.000006
word:       principle; TF: 0.000040; IDF: 0.262364; TF-IDF: 0.000010
word:      connection; TF: 0.000159; IDF: 0.262364; TF-IDF: 0.000042
word:     description; TF: 0.000056; IDF: 0.367725; TF-IDF: 0.000020
word:      birmingham; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000020
word:    congratulate; TF: 0.000056; IDF: 0.773190; TF-IDF: 0.000043
word:         panting; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:      insensible; TF: 0.000032; IDF: 1.466337; TF-IDF: 0.000047
word:           feels; TF: 0.000032; IDF: 0.485508; TF-IDF: 0.000015
word: conscientiously; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word: condescendingly; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:          beheld; TF: 0.000016; IDF: 0.773190; TF-IDF: 0.000012
word:         divided; TF: 0.000032; IDF: 0.262364; TF-IDF: 0.000008
word:          custom; TF: 0.000016; IDF: 0.262364; TF-IDF: 0.000004
word:      deficiency; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:      rationally; TF: 0.000024; IDF: 1.871802; TF-IDF: 0.000045
word:     beneficence; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:          refund; TF: 0.000079; IDF: 0.080043; TF-IDF: 0.000006
word:           sound; TF: 0.000071; IDF: 0.080043; TF-IDF: 0.000006
word:        research; TF: 0.000024; IDF: 0.080043; TF-IDF: 0.000002
word:          trifle; TF: 0.000040; IDF: 0.485508; TF-IDF: 0.000019
