______________________________
*START OF THE FILE 0*
______________________________
word:          author; amount:   1; TF: 0.009091
word:         english; amount:   1; TF: 0.009091
word:        included; amount:   1; TF: 0.009091
word:            html; amount:   1; TF: 0.009091
word:            with; amount:   2; TF: 0.018182
word:            july; amount:   2; TF: 0.018182
word:            june; amount:   1; TF: 0.009091
word:          anyone; amount:   1; TF: 0.009091
word:            copy; amount:   1; TF: 0.009091
word:            cost; amount:   1; TF: 0.009091
word:            away; amount:   1; TF: 0.009091
word:            give; amount:   1; TF: 0.009091
word:           under; amount:   1; TF: 0.009091
word:       gutenberg; amount:   4; TF: 0.036364
word:          haines; amount:   1; TF: 0.009091
word:    restrictions; amount:   1; TF: 0.009091
word:      whatsoever; amount:   1; TF: 0.009091
word:          almost; amount:   1; TF: 0.009091
word:           start; amount:   1; TF: 0.009091
word:            this; amount:   5; TF: 0.045455
word:           ebook; amount:   5; TF: 0.045455
word:          online; amount:   1; TF: 0.009091
word:        anywhere; amount:   1; TF: 0.009091
word:             and; amount:   1; TF: 0.009091
word:            gray; amount:   3; TF: 0.027273
word:              al; amount:   1; TF: 0.009091
word:              at; amount:   2; TF: 0.018182
word:              by; amount:   3; TF: 0.027273
word:        produced; amount:   1; TF: 0.009091
word:              is; amount:   1; TF: 0.009091
word:              it; amount:   3; TF: 0.027273
word:              no; amount:   2; TF: 0.018182
word:              of; amount:   7; TF: 0.063636
word:              on; amount:   2; TF: 0.018182
word:              or; amount:   2; TF: 0.018182
word:              re; amount:   1; TF: 0.009091
word:           oscar; amount:   2; TF: 0.018182
word:            date; amount:   1; TF: 0.009091
word:             for; amount:   1; TF: 0.009091
word:         project; amount:   3; TF: 0.027273
word:         picture; amount:   3; TF: 0.027273
word:           terms; amount:   1; TF: 0.009091
word:        language; amount:   1; TF: 0.009091
word:         version; amount:   1; TF: 0.009091
word:         updated; amount:   2; TF: 0.018182
word:             may; amount:   1; TF: 0.009091
word:             net; amount:   1; TF: 0.009091
word:            boss; amount:   1; TF: 0.009091
word:            file; amount:   2; TF: 0.018182
word:             the; amount:   7; TF: 0.063636
word:             use; amount:   2; TF: 0.018182
word:           title; amount:   4; TF: 0.036364
word:             www; amount:   1; TF: 0.009091
word:          judith; amount:   1; TF: 0.009091
word:         release; amount:   1; TF: 0.009091
word:             you; amount:   1; TF: 0.009091
word:         license; amount:   1; TF: 0.009091
word:          dorian; amount:   3; TF: 0.027273
word:            last; amount:   2; TF: 0.018182
word:           wilde; amount:   2; TF: 0.018182
-------------------------------
amt of words: 110
______________________________
*START OF THE FILE 1*
______________________________
word:            soul; amount:  68; TF: 0.000814
word:           night; amount:  98; TF: 0.001174
word:      alteration; amount:   1; TF: 0.000012
word:       similarly; amount:   1; TF: 0.000012
word:         western; amount:   1; TF: 0.000012
word:           there; amount: 339; TF: 0.004060
word:          marble; amount:   7; TF: 0.000084
word:     attractions; amount:   1; TF: 0.000012
word:         dinners; amount:   1; TF: 0.000012
word:         sinking; amount:   3; TF: 0.000036
word:         secrecy; amount:   1; TF: 0.000012
word:          author; amount:   3; TF: 0.000036
word:           these; amount:  30; TF: 0.000359
word:         sternly; amount:   1; TF: 0.000012
word:        woodwork; amount:   1; TF: 0.000012
word:         created; amount:   4; TF: 0.000048
word:         matters; amount:   4; TF: 0.000048
word:         enabled; amount:   1; TF: 0.000012
word:         creates; amount:   1; TF: 0.000012
word:        strongly; amount:   4; TF: 0.000048
word:       arbitrary; amount:   1; TF: 0.000012
word:       quickened; amount:   5; TF: 0.000060
word:          wealth; amount:   6; TF: 0.000072
word:          jerkin; amount:   2; TF: 0.000024
word:          refuge; amount:   1; TF: 0.000012
word:          manner; amount:  21; TF: 0.000252
word:          strict; amount:   1; TF: 0.000012
word:           mimic; amount:   3; TF: 0.000036
word:          theory; amount:   8; TF: 0.000096
word:          marbre; amount:   2; TF: 0.000024
word:        laughter; amount:   7; TF: 0.000084
word:       principle; amount:   3; TF: 0.000036
word:      connection; amount:   3; TF: 0.000036
word:     description; amount:   4; TF: 0.000048
word:     innumerable; amount:   1; TF: 0.000012
word:    congratulate; amount:   4; TF: 0.000048
word:         panting; amount:   1; TF: 0.000012
word:       reproduce; amount:   2; TF: 0.000024
word:       tasselled; amount:   3; TF: 0.000036
word:           feels; amount:   4; TF: 0.000048
word:        squabble; amount:   2; TF: 0.000024
word:          beheld; amount:   1; TF: 0.000012
word:         divided; amount:   1; TF: 0.000012
word:          custom; amount:   3; TF: 0.000036
word:           souls; amount:   2; TF: 0.000024
word:         homburg; amount:   1; TF: 0.000012
word:        streamed; amount:   2; TF: 0.000024
word:          refund; amount:  10; TF: 0.000120
word:           sound; amount:  13; TF: 0.000156
word:        research; amount:   2; TF: 0.000024
word:         enraged; amount:   1; TF: 0.000012
word:         creator; amount:   1; TF: 0.000012
word:         anybody; amount:   8; TF: 0.000096
word:      personally; amount:   3; TF: 0.000036
word:          strike; amount:   4; TF: 0.000048
word:       wondering; amount:   9; TF: 0.000108
word:          spoken; amount:   7; TF: 0.000084
word:       represent; amount:   4; TF: 0.000048
word:        indicate; amount:   1; TF: 0.000012
word:     prominently; amount:   2; TF: 0.000024
word:          ridden; amount:   1; TF: 0.000012
word:           drink; amount:   3; TF: 0.000036
word:        trembled; amount:   5; TF: 0.000060
word:        trembles; amount:   1; TF: 0.000012
word:          refuse; amount:   8; TF: 0.000096
word:       bachelors; amount:   3; TF: 0.000036
word:         secrets; amount:   9; TF: 0.000108
word:   experimenting; amount:   2; TF: 0.000024
word:          burden; amount:   9; TF: 0.000108
word:        announce; amount:   1; TF: 0.000012
word:      tapestries; amount:   4; TF: 0.000048
word:           south; amount:   2; TF: 0.000024
word:         packing; amount:   2; TF: 0.000024
word:           avoid; amount:   1; TF: 0.000012
word:           paste; amount:   1; TF: 0.000012
word:         century; amount:  16; TF: 0.000192
word:       enviously; amount:   1; TF: 0.000012
word:         bedroom; amount:   3; TF: 0.000036
word:           floor; amount:  11; TF: 0.000132
word:     disclaimers; amount:   1; TF: 0.000012
word:          fleurs; amount:   2; TF: 0.000024
word:           nests; amount:   1; TF: 0.000012
word:        dreadful; amount:  43; TF: 0.000515
word:       gwendolen; amount:   2; TF: 0.000024
word:           drive; amount:   7; TF: 0.000084
word:          strive; amount:   1; TF: 0.000012
word:          london; amount:  19; TF: 0.000228
word:            spot; amount:   1; TF: 0.000012
word:          option; amount:   1; TF: 0.000012
word:         heralds; amount:   1; TF: 0.000012
word:          skeins; amount:   1; TF: 0.000012
word:    civilization; amount:   1; TF: 0.000012
word:           wiped; amount:   3; TF: 0.000036
word:          snowed; amount:   1; TF: 0.000012
word:           cross; amount:   1; TF: 0.000012
word:          burdon; amount:   2; TF: 0.000024
word:     interpreted; amount:   1; TF: 0.000012
word:     established; amount:   1; TF: 0.000012
word:           bruno; amount:   1; TF: 0.000012
word:     incompetent; amount:   1; TF: 0.000012
word:           crowd; amount:   4; TF: 0.000048
word:          unison; amount:   2; TF: 0.000024
word:        survival; amount:   2; TF: 0.000024
word:            weak; amount:   2; TF: 0.000024
word:            wear; amount:   3; TF: 0.000036
word:        dressing; amount:   7; TF: 0.000084
word:        realized; amount:   4; TF: 0.000048
word:          velvet; amount:   5; TF: 0.000060
word:         propose; amount:   7; TF: 0.000084
word:           topic; amount:   2; TF: 0.000024
word:          tawdry; amount:   4; TF: 0.000048
word:           minds; amount:   3; TF: 0.000036
word:           brush; amount:   1; TF: 0.000012
word:          preach; amount:   2; TF: 0.000024
word:          circle; amount:   3; TF: 0.000036
word:          saying; amount:  15; TF: 0.000180
word:           brute; amount:   5; TF: 0.000060
word:      lustreless; amount:   2; TF: 0.000024
word:         archway; amount:   2; TF: 0.000024
word:       invisible; amount:   2; TF: 0.000024
word:            week; amount:  10; TF: 0.000120
word:           patch; amount:   1; TF: 0.000012
word:            weep; amount:   3; TF: 0.000036
word:          commit; amount:   9; TF: 0.000108
word:         courage; amount:   6; TF: 0.000072
word:         emperor; amount:   1; TF: 0.000012
word:        absolute; amount:   6; TF: 0.000072
word:      discussing; amount:   1; TF: 0.000012
word:        brougham; amount:   3; TF: 0.000036
word:           vivid; amount:   7; TF: 0.000084
word:          nights; amount:   3; TF: 0.000036
word:      discussion; amount:   1; TF: 0.000012
word:        egotists; amount:   1; TF: 0.000012
word:          giving; amount:  11; TF: 0.000132
word:      performing; amount:   3; TF: 0.000036
word:     unsatisfied; amount:   1; TF: 0.000012
word:         english; amount:  16; TF: 0.000192
word:         immense; amount:   2; TF: 0.000024
word:          eldest; amount:   1; TF: 0.000012
word:         mexican; amount:   1; TF: 0.000012
word:            name; amount:  48; TF: 0.000575
word:          fibres; amount:   1; TF: 0.000012
word:         revenue; amount:   1; TF: 0.000012
word:     photographs; amount:   1; TF: 0.000012
word:        drifting; amount:   1; TF: 0.000012
word:        promised; amount:   9; TF: 0.000108
word:        promises; amount:   1; TF: 0.000012
word:          common; amount:  16; TF: 0.000192
word:        champion; amount:   1; TF: 0.000012
word:      consummate; amount:   1; TF: 0.000012
word:            well; amount:  67; TF: 0.000802
word:          inmost; amount:   1; TF: 0.000012
word:          guests; amount:   7; TF: 0.000084
word:   rechristening; amount:   1; TF: 0.000012
word:           farce; amount:   1; TF: 0.000012
word:          circus; amount:   1; TF: 0.000012
word:          answer; amount:  32; TF: 0.000383
word:           lithe; amount:   2; TF: 0.000024
word:        plucking; amount:   1; TF: 0.000012
word:          aiming; amount:   1; TF: 0.000012
word:         cheques; amount:   2; TF: 0.000024
word:            went; amount:  63; TF: 0.000755
word:          degree; amount:   1; TF: 0.000012
word:       drunkards; amount:   2; TF: 0.000024
word:           fares; amount:   1; TF: 0.000012
word:         fainted; amount:   2; TF: 0.000024
word:         oratory; amount:   1; TF: 0.000012
word:            wept; amount:   2; TF: 0.000024
word:   consideration; amount:   1; TF: 0.000012
word:       moralists; amount:   1; TF: 0.000012
word:       atonement; amount:   5; TF: 0.000060
word:   spiritualizes; amount:   1; TF: 0.000012
word:          fellow; amount:  22; TF: 0.000263
word:          fourth; amount:   1; TF: 0.000012
word:            aims; amount:   2; TF: 0.000024
word:            were; amount: 251; TF: 0.003006
word:        strained; amount:   4; TF: 0.000048
word:        swinging; amount:   3; TF: 0.000036
word:           birds; amount:  11; TF: 0.000132
word:          christ; amount:   4; TF: 0.000048
word:     reputations; amount:   1; TF: 0.000012
word:            west; amount:   4; TF: 0.000048
word:        quarters; amount:   2; TF: 0.000024
word:       octagonal; amount:   2; TF: 0.000024
word:     crucifixion; amount:   1; TF: 0.000012
