word:          author; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:         english; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:        included; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            html; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            with; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:            july; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:            june; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:          anyone; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            copy; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            cost; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            away; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            give; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:           under; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:       gutenberg; TF: 0.036364; IDF: 0.000000; TF-IDF: 0.000000
word:          haines; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:    restrictions; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:      whatsoever; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:          almost; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:           start; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            this; TF: 0.045455; IDF: 0.000000; TF-IDF: 0.000000
word:           ebook; TF: 0.045455; IDF: 0.000000; TF-IDF: 0.000000
word:          online; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:        anywhere; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:             and; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            gray; TF: 0.027273; IDF: 0.000000; TF-IDF: 0.000000
word:              al; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:              at; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:              by; TF: 0.027273; IDF: 0.000000; TF-IDF: 0.000000
word:        produced; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:              is; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:              it; TF: 0.027273; IDF: 0.000000; TF-IDF: 0.000000
word:              no; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:              of; TF: 0.063636; IDF: 0.000000; TF-IDF: 0.000000
word:              on; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:              or; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:              re; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:           oscar; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:            date; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:             for; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:         project; TF: 0.027273; IDF: 0.000000; TF-IDF: 0.000000
word:         picture; TF: 0.027273; IDF: 0.000000; TF-IDF: 0.000000
word:           terms; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:        language; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:         version; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:         updated; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:             may; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:             net; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            boss; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:            file; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:             the; TF: 0.063636; IDF: 0.000000; TF-IDF: 0.000000
word:             use; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:           title; TF: 0.036364; IDF: 0.000000; TF-IDF: 0.000000
word:             www; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:          judith; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:         release; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:             you; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:         license; TF: 0.009091; IDF: 0.000000; TF-IDF: 0.000000
word:          dorian; TF: 0.027273; IDF: 0.000000; TF-IDF: 0.000000
word:            last; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
word:           wilde; TF: 0.018182; IDF: 0.000000; TF-IDF: 0.000000
